date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:59	64376/64376	---MCZ	200	added ('OK')	text/html	etag:W/%2247ce8ee70853a996d047e3a91132a60a%22	https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR	C:/My%20Web%20Sites/wheels/toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR.html	(from )
01:29:00	23/23	---M--	200	added ('OK')	text/plain	date:Sun,%2026%20Nov%202023%2001:29:01%20GMT	https://toms-builders-143518920.hubspotpagebuilder.eu/robots.txt		(from )
01:29:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Nov%202023%2001:29:01%20GMT	http://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1700833385116/hubspot/compass_theme/assets/css/main.min.css	C:/My%20Web%20Sites/wheels/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1700833385116/hubspot/compass_theme/assets/css/main.min.1.delayed	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:02	24524/24524	---MCZ	200	added ('OK')	text/css	etag:W/%22649eda7d7f00d6c931e7268f2e103cf3%22	https://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1700833385116/hubspot/compass_theme/assets/css/main.min.css	C:/My%20Web%20Sites/wheels/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1700833385116/hubspot/compass_theme/assets/css/main.min.css	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:02	530/530	---MCZ	200	added ('OK')	text/css	etag:W/%2269bcf0fce108c42f0b8dad1a0fe3bf08%22	https://cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-47846617941/1700833526507/module_-47846617941_PQL_Content.min.css	C:/My%20Web%20Sites/wheels/cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-47846617941/1700833526507/module_-47846617941_PQL_Content.min.css	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:02	38188/38188	---M--	200	added ('OK')	font/woff2	etag:%226d701d4597d65cde7c40c5adb44b8aa2%22	https://toms-builders-143518920.hubspotpagebuilder.eu/_hcms/googlefonts/Work_Sans/regular.woff2	C:/My%20Web%20Sites/wheels/toms-builders-143518920.hubspotpagebuilder.eu/_hcms/googlefonts/Work_Sans/regular.woff2	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:02	49492/49492	---M--	200	added ('OK')	font/woff	etag:%22b17d370b909f64ac553cc85a9f0fea31%22	https://toms-builders-143518920.hubspotpagebuilder.eu/_hcms/googlefonts/Work_Sans/regular.woff	C:/My%20Web%20Sites/wheels/toms-builders-143518920.hubspotpagebuilder.eu/_hcms/googlefonts/Work_Sans/regular.woff	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Nov%202023%2001:29:04%20GMT	http://toms-builders-143518920.hubspotpagebuilder.eu/	C:/My%20Web%20Sites/wheels/toms-builders-143518920.hubspotpagebuilder.eu/index.html	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:04	5143/5143	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Nov%202023%2022:32:38%20GMT	https://143518920.fs1.hubspotusercontent-eu1.net/hub/143518920/hubfs/IMG_4426.jpeg?width=143&height=103&name=IMG_4426.jpeg	C:/My%20Web%20Sites/wheels/143518920.fs1.hubspotusercontent-eu1.net/hub/143518920/hubfs/IMG_4426cfef.jpg	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:05	96952/96952	---M--	200	added ('OK')	image/jpeg	etag:%2234e7a7e2627f37d69e12f067ce09ffe7%22	https://143518920.fs1.hubspotusercontent-eu1.net/hubfs/143518920/Untitled-3-01.jpg	C:/My%20Web%20Sites/wheels/143518920.fs1.hubspotusercontent-eu1.net/hubfs/143518920/Untitled-3-01.jpg	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
01:29:05	2870/2870	---M--	200	added ('OK')	image/png	etag:%22d53f49c3350d40ea2dd2c34777b5d1fa%22	https://f.hubspotusercontent10.net/hubfs/7303166/Marketing%20Starter/check_blue-bg.png	C:/My%20Web%20Sites/wheels/f.hubspotusercontent10.net/hubfs/7303166/Marketing%20Starter/check_blue-bg.png	(from https://toms-builders-143518920.hubspotpagebuilder.eu/ALLOY-WHEEL- REPAIR)
